,Unnamed: 0,Komentar,Label,TOKENIZATION,STOP_REMOVAL,STEMMER,Komentar_Final,sentiment
277,277,suka sama suka itu sendiri msh bisa dipertanyakan krn ada yg terpaksa utk dianggap suka itu yg sngt dikhawatirkan,negatif,"['suka', 'sama', 'suka', 'itu', 'sendiri', 'msh', 'bisa', 'dipertanyakan', 'krn', 'ada', 'yg', 'terpaksa', 'utk', 'dianggap', 'suka', 'itu', 'yg', 'sngt', 'dikhawatirkan']","['suka', 'suka', 'msh', 'terpaksa', 'dianggap', 'suka', 'sngt', 'dikhawatirkan']","['suka', 'suka', 'msh', 'paksa', 'anggap', 'suka', 'sngt', 'khawatir']",suka suka msh paksa anggap suka sngt khawatir,1.0
278,278,mungkin ini maksud dari rancangan pasal tentang memperkosa istri yang ramai dulu buka zina tapi secara logika ttp aja salah,netral,"['mungkin', 'ini', 'maksud', 'dari', 'rancangan', 'pasal', 'tentang', 'memperkosa', 'istri', 'yang', 'ramai', 'dulu', 'buka', 'zina', 'tapi', 'secara', 'logika', 'ttp', 'aja', 'salah']","['maksud', 'rancangan', 'pasal', 'memperkosa', 'istri', 'ramai', 'buka', 'zina', 'logika', 'ttp', 'salah']","['maksud', 'rancang', 'pasal', 'perkosa', 'istri', 'ramai', 'buka', 'zina', 'logika', 'ttp', 'salah']",maksud rancang pasal perkosa istri ramai buka zina logika ttp salah,0.0
279,279,intinya klu mui melarang mk permen itu hrus hpus,negatif,"['intinya', 'klu', 'mui', 'melarang', 'mk', 'permen', 'itu', 'hrus', 'hpus']","['intinya', 'klu', 'mui', 'melarang', 'mk', 'permen', 'hrus', 'hpus']","['inti', 'klu', 'mui', 'larang', 'mk', 'permen', 'hrus', 'hpus']",inti klu mui larang mk permen hrus hpus,0.0
280,280,pernyataan jika hubungan seksual secara non konsensual maka tidak boleh tidak bisa di ubah menjadi jika hubungan seksual secara konsensual maka boleh karena ini pernyataan yang invalid gue akan membuktikanya dengan tabel kebenaran katakan hubungan seksual secara konsensual sebagai dan boleh sebagai maka jadinya seperti ini atau kalo kita baca jika hubungan seksual secara non konsensual maka tidak boleh hubungan seksual secara konsensual boleh mari kita gunakan tabel kebenaran catatan proposisi benar proposisi salah berdasarkan tabel kebenaran di atas dapat kita lihat bahwa baris tabel kebenaran di mana dan nya benar ada pada baris pertama dan kedua sayang sekali di baris kedua nya salah ini artinya pernyataan nya benar meski demikian konklusi yang diambil salah jadi dapat disimpulkan bahwa pernyataan jika hubungan seksual secara non konsensual maka tidak boleh hubungan seksual secara konsensual boleh adalah pernyataan yang invalid ,netral,"['pernyataan', 'jika', 'hubungan', 'seksual', 'secara', 'non', 'konsensual', 'maka', 'tidak', 'boleh', 'tidak', 'bisa', 'di', 'ubah', 'menjadi', 'jika', 'hubungan', 'seksual', 'secara', 'konsensual', 'maka', 'boleh', 'karena', 'ini', 'pernyataan', 'yang', 'invalid', 'gue', 'akan', 'membuktikanya', 'dengan', 'tabel', 'kebenaran', 'katakan', 'hubungan', 'seksual', 'secara', 'konsensual', 'sebagai', 'dan', 'boleh', 'sebagai', 'maka', 'jadinya', 'seperti', 'ini', 'atau', 'kalo', 'kita', 'baca', 'jika', 'hubungan', 'seksual', 'secara', 'non', 'konsensual', 'maka', 'tidak', 'boleh', 'hubungan', 'seksual', 'secara', 'konsensual', 'boleh', 'mari', 'kita', 'gunakan', 'tabel', 'kebenaran', 'catatan', 'proposisi', 'benar', 'proposisi', 'salah', 'berdasarkan', 'tabel', 'kebenaran', 'di', 'atas', 'dapat', 'kita', 'lihat', 'bahwa', 'baris', 'tabel', 'kebenaran', 'di', 'mana', 'dan', 'nya', 'benar', 'ada', 'pada', 'baris', 'pertama', 'dan', 'kedua', 'sayang', 'sekali', 'di', 'baris', 'kedua', 'nya', 'salah', 'ini', 'artinya', 'pernyataan', 'nya', 'benar', 'meski', 'demikian', 'konklusi', 'yang', 'diambil', 'salah', 'jadi', 'dapat', 'disimpulkan', 'bahwa', 'pernyataan', 'jika', 'hubungan', 'seksual', 'secara', 'non', 'konsensual', 'maka', 'tidak', 'boleh', 'hubungan', 'seksual', 'secara', 'konsensual', 'boleh', 'adalah', 'pernyataan', 'yang', 'invalid']","['pernyataan', 'hubungan', 'seksual', 'non', 'konsensual', 'tidak', 'tidak', 'ubah', 'hubungan', 'seksual', 'konsensual', 'pernyataan', 'invalid', 'gue', 'membuktikanya', 'tabel', 'kebenaran', 'hubungan', 'seksual', 'konsensual', 'baca', 'hubungan', 'seksual', 'non', 'konsensual', 'tidak', 'hubungan', 'seksual', 'konsensual', 'mari', 'tabel', 'kebenaran', 'catatan', 'proposisi', 'proposisi', 'salah', 'berdasarkan', 'tabel', 'kebenaran', 'lihat', 'baris', 'tabel', 'kebenaran', 'baris', 'sayang', 'baris', 'salah', 'pernyataan', 'konklusi', 'diambil', 'salah', 'disimpulkan', 'pernyataan', 'hubungan', 'seksual', 'non', 'konsensual', 'tidak', 'hubungan', 'seksual', 'konsensual', 'pernyataan', 'invalid']","['nyata', 'hubung', 'seksual', 'non', 'konsensual', 'tidak', 'tidak', 'ubah', 'hubung', 'seksual', 'konsensual', 'nyata', 'invalid', 'gue', 'membuktikanya', 'tabel', 'benar', 'hubung', 'seksual', 'konsensual', 'baca', 'hubung', 'seksual', 'non', 'konsensual', 'tidak', 'hubung', 'seksual', 'konsensual', 'mari', 'tabel', 'benar', 'catat', 'proposisi', 'proposisi', 'salah', 'dasar', 'tabel', 'benar', 'lihat', 'baris', 'tabel', 'benar', 'baris', 'sayang', 'baris', 'salah', 'nyata', 'konklusi', 'ambil', 'salah', 'simpul', 'nyata', 'hubung', 'seksual', 'non', 'konsensual', 'tidak', 'hubung', 'seksual', 'konsensual', 'nyata', 'invalid']",nyata hubung seksual non konsensual tidak tidak ubah hubung seksual konsensual nyata invalid gue membuktikanya tabel benar hubung seksual konsensual baca hubung seksual non konsensual tidak hubung seksual konsensual mari tabel benar catat proposisi proposisi salah dasar tabel benar lihat baris tabel benar baris sayang baris salah nyata konklusi ambil salah simpul nyata hubung seksual non konsensual tidak hubung seksual konsensual nyata invalid,0.0
281,281,partai kekerasan seksual,netral,"['partai', 'kekerasan', 'seksual']","['partai', 'kekerasan', 'seksual']","['partai', 'keras', 'seksual']",partai keras seksual,0.0
282,282,kalo pks menolak berarti aturan yg dibuat sudah benar lanjutkan,positif,"['kalo', 'pks', 'menolak', 'berarti', 'aturan', 'yg', 'dibuat', 'sudah', 'benar', 'lanjutkan']","['pks', 'menolak', 'aturan', 'lanjutkan']","['pks', 'tolak', 'atur', 'lanjut']",pks tolak atur lanjut,1.0
283,283,doa kami rakyat indonesia semoga semua yang terlibat dalam aturan setan ini akan mengalami nya sendiri anak atau istri nya selingkuh atau dihamili oleh orang lain atas dasar aturan yang mereka pemerintah legalkan ya allah segera kan pemerintahan jokowi ini berakhir dengan kehinaan aamiin,netral,"['doa', 'kami', 'rakyat', 'indonesia', 'semoga', 'semua', 'yang', 'terlibat', 'dalam', 'aturan', 'setan', 'ini', 'akan', 'mengalami', 'nya', 'sendiri', 'anak', 'atau', 'istri', 'nya', 'selingkuh', 'atau', 'dihamili', 'oleh', 'orang', 'lain', 'atas', 'dasar', 'aturan', 'yang', 'mereka', 'pemerintah', 'legalkan', 'ya', 'allah', 'segera', 'kan', 'pemerintahan', 'jokowi', 'ini', 'berakhir', 'dengan', 'kehinaan', 'aamiin']","['doa', 'rakyat', 'indonesia', 'semoga', 'terlibat', 'aturan', 'setan', 'mengalami', 'anak', 'istri', 'selingkuh', 'dihamili', 'orang', 'dasar', 'aturan', 'pemerintah', 'legalkan', 'allah', 'pemerintahan', 'jokowi', 'kehinaan', 'aamiin']","['doa', 'rakyat', 'indonesia', 'moga', 'libat', 'atur', 'setan', 'alami', 'anak', 'istri', 'selingkuh', 'hamil', 'orang', 'dasar', 'atur', 'perintah', 'legal', 'allah', 'perintah', 'jokowi', 'hina', 'aamiin']",doa rakyat indonesia moga libat atur setan alami anak istri selingkuh hamil orang dasar atur perintah legal allah perintah jokowi hina aamiin,0.0
284,284,selalu main tafsir,netral,"['selalu', 'main', 'tafsir']","['main', 'tafsir']","['main', 'tafsir']",main tafsir,1.0
285,285,kesan di publik  bisa menimbulkan polemik  bisa menimbulkan prasangka tuk pengalihan isu yg sdg ramai,netral,"['kesan', 'di', 'publik', 'bisa', 'menimbulkan', 'polemik', 'bisa', 'menimbulkan', 'prasangka', 'tuk', 'pengalihan', 'isu', 'yg', 'sdg', 'ramai']","['kesan', 'publik', 'menimbulkan', 'polemik', 'menimbulkan', 'prasangka', 'tuk', 'pengalihan', 'isu', 'sdg', 'ramai']","['kesan', 'publik', 'timbul', 'polemik', 'timbul', 'prasangka', 'tuk', 'alih', 'isu', 'sdg', 'ramai']",kesan publik timbul polemik timbul prasangka tuk alih isu sdg ramai,2.0
286,286,wah hancur moralnya kalo zina dilegalkan,negatif,"['wah', 'hancur', 'moralnya', 'kalo', 'zina', 'dilegalkan']","['hancur', 'moralnya', 'zina', 'dilegalkan']","['hancur', 'moral', 'zina', 'legal']",hancur moral zina legal,1.0
287,287,abaikan pks ,netral,"['abaikan', 'pks']","['abaikan', 'pks']","['abai', 'pks']",abai pks,0.0
288,288,assalamualaikum semua maaf permendikbudristek no  tahun  sudah dibuat ditandatangani mendikbudristek yg terdapat frasa tanpa persetujuan korban dalam pasal  maaf sebelumnya seandainya mahasiswa yg mencium mahasiswi secara tertutup di kampus tapi mahasiswi tersebut setuju perbuatan mereka ketauan sama lainnya apa perbuatan mereka termasuk pelanggaran ditindak lanjuti menurut permendikbudristek no  tahun  ,netral,"['assalamualaikum', 'semua', 'maaf', 'permendikbudristek', 'no', 'tahun', 'sudah', 'dibuat', 'ditandatangani', 'mendikbudristek', 'yg', 'terdapat', 'frasa', 'tanpa', 'persetujuan', 'korban', 'dalam', 'pasal', 'maaf', 'sebelumnya', 'seandainya', 'mahasiswa', 'yg', 'mencium', 'mahasiswi', 'secara', 'tertutup', 'di', 'kampus', 'tapi', 'mahasiswi', 'tersebut', 'setuju', 'perbuatan', 'mereka', 'ketauan', 'sama', 'lainnya', 'apa', 'perbuatan', 'mereka', 'termasuk', 'pelanggaran', 'ditindak', 'lanjuti', 'menurut', 'permendikbudristek', 'no', 'tahun']","['assalamualaikum', 'maaf', 'permendikbudristek', 'no', 'ditandatangani', 'mendikbudristek', 'frasa', 'persetujuan', 'korban', 'pasal', 'maaf', 'seandainya', 'mahasiswa', 'mencium', 'mahasiswi', 'tertutup', 'kampus', 'mahasiswi', 'setuju', 'perbuatan', 'ketauan', 'perbuatan', 'pelanggaran', 'ditindak', 'lanjuti', 'permendikbudristek', 'no']","['assalamualaikum', 'maaf', 'permendikbudristek', 'no', 'ditandatangani', 'mendikbudristek', 'frasa', 'tuju', 'korban', 'pasal', 'maaf', 'anda', 'mahasiswa', 'cium', 'mahasiswi', 'tutup', 'kampus', 'mahasiswi', 'tuju', 'buat', 'tau', 'buat', 'langgar', 'tindak', 'lanjut', 'permendikbudristek', 'no']",assalamualaikum maaf permendikbudristek no ditandatangani mendikbudristek frasa tuju korban pasal maaf anda mahasiswa cium mahasiswi tutup kampus mahasiswi tuju buat tau buat langgar tindak lanjut permendikbudristek no,2.0
289,289,muaantaabb skrng maen di kampus aman bro sis slama lw pade sama nga ngas langsung gaass bwahahaha,negatif,"['muaantaabb', 'skrng', 'maen', 'di', 'kampus', 'aman', 'bro', 'sis', 'slama', 'lw', 'pade', 'sama', 'nga', 'ngas', 'langsung', 'gaass', 'bwahahaha']","['muaantaabb', 'skrng', 'maen', 'kampus', 'aman', 'sis', 'slama', 'lw', 'pade', 'nga', 'ngas', 'langsung', 'gaass', 'bwahahaha']","['muaantaabb', 'skrng', 'maen', 'kampus', 'aman', 'sis', 'slama', 'lw', 'pade', 'nga', 'ngas', 'langsung', 'gaass', 'bwahahaha']",muaantaabb skrng maen kampus aman sis slama lw pade nga ngas langsung gaass bwahahaha,1.0
290,290,ingat mas mentri buat aturan itu harus hati hati karena kita khawatir jk suatu aturan bertentangan dgn aturan allah mk pasti menuai adzab didunia maupun akhirat ,netral,"['ingat', 'mas', 'mentri', 'buat', 'aturan', 'itu', 'harus', 'hati', 'hati', 'karena', 'kita', 'khawatir', 'jk', 'suatu', 'aturan', 'bertentangan', 'dgn', 'aturan', 'allah', 'mk', 'pasti', 'menuai', 'adzab', 'didunia', 'maupun', 'akhirat']","['mas', 'mentri', 'aturan', 'hati', 'hati', 'khawatir', 'jk', 'aturan', 'bertentangan', 'aturan', 'allah', 'mk', 'menuai', 'adzab', 'didunia', 'akhirat']","['mas', 'tri', 'atur', 'hati', 'hati', 'khawatir', 'jk', 'atur', 'tentang', 'atur', 'allah', 'mk', 'tuai', 'adzab', 'dunia', 'akhirat']",mas tri atur hati hati khawatir jk atur tentang atur allah mk tuai adzab dunia akhirat,1.0
291,291,kalau dua pihak setuju giatan esek maka tu bukanlah kekerasan pemaksaan seksual kalau itu ja sih ya betul tapi hanya brenti di situ ja tu ga tolak pzinaan yang dipaksakan maupun perzinaan yang disetujui oleh dua pihak ni yang ga cegah terjadinya zina ni yang ditentang ,netral,"['kalau', 'dua', 'pihak', 'setuju', 'giatan', 'esek', 'maka', 'tu', 'bukanlah', 'kekerasan', 'pemaksaan', 'seksual', 'kalau', 'itu', 'ja', 'sih', 'ya', 'betul', 'tapi', 'hanya', 'brenti', 'di', 'situ', 'ja', 'tu', 'ga', 'tolak', 'pzinaan', 'yang', 'dipaksakan', 'maupun', 'perzinaan', 'yang', 'disetujui', 'oleh', 'dua', 'pihak', 'ni', 'yang', 'ga', 'cegah', 'terjadinya', 'zina', 'ni', 'yang', 'ditentang']","['setuju', 'giatan', 'esek', 'kekerasan', 'pemaksaan', 'seksual', 'brenti', 'situ', 'ga', 'tolak', 'pzinaan', 'dipaksakan', 'perzinaan', 'disetujui', 'ga', 'cegah', 'zina', 'ditentang']","['tuju', 'giat', 'esek', 'keras', 'paksa', 'seksual', 'brenti', 'situ', 'ga', 'tolak', 'pzinaan', 'paksa', 'zina', 'tuju', 'ga', 'cegah', 'zina', 'tentang']",tuju giat esek keras paksa seksual brenti situ ga tolak pzinaan paksa zina tuju ga cegah zina tentang,0.0
292,292,dlm tujuan pencegahan dan memberikan definisi yg pasti ttg kekerasan seksual gak ada yg salah di ayat itu tafsir lain gak ada tempatnya dlm permendikbud ini ,netral,"['dlm', 'tujuan', 'pencegahan', 'dan', 'memberikan', 'definisi', 'yg', 'pasti', 'ttg', 'kekerasan', 'seksual', 'gak', 'ada', 'yg', 'salah', 'di', 'ayat', 'itu', 'tafsir', 'lain', 'gak', 'ada', 'tempatnya', 'dlm', 'permendikbud', 'ini']","['dlm', 'tujuan', 'pencegahan', 'definisi', 'ttg', 'kekerasan', 'seksual', 'gak', 'salah', 'ayat', 'tafsir', 'gak', 'tempatnya', 'dlm', 'permendikbud']","['dlm', 'tuju', 'cegah', 'definisi', 'ttg', 'keras', 'seksual', 'gak', 'salah', 'ayat', 'tafsir', 'gak', 'tempat', 'dlm', 'permendikbud']",dlm tuju cegah definisi ttg keras seksual gak salah ayat tafsir gak tempat dlm permendikbud,1.0
293,293,terjadi ke ambiguan seks bebas itu suka sama suka loh tidak ada yg menjadi korbannya,netral,"['terjadi', 'ke', 'ambiguan', 'seks', 'bebas', 'itu', 'suka', 'sama', 'suka', 'loh', 'tidak', 'ada', 'yg', 'menjadi', 'korbannya']","['ambiguan', 'seks', 'bebas', 'suka', 'suka', 'tidak', 'korbannya']","['ambigu', 'seks', 'bebas', 'suka', 'suka', 'tidak', 'korban']",ambigu seks bebas suka suka tidak korban,0.0
294,294,bagusnya di perbaiki jika memang salah,netral,"['bagusnya', 'di', 'perbaiki', 'jika', 'memang', 'salah']","['bagusnya', 'perbaiki', 'salah']","['bagus', 'baik', 'salah']",bagus baik salah,1.0
295,295,doa mu sangat jahat kamu bukan rakyat indonesia ,netral,"['doa', 'mu', 'sangat', 'jahat', 'kamu', 'bukan', 'rakyat', 'indonesia']","['doa', 'mu', 'jahat', 'rakyat', 'indonesia']","['doa', 'mu', 'jahat', 'rakyat', 'indonesia']",doa mu jahat rakyat indonesia,2.0
296,296, ummu nayla pasal mana yang membolehkan seks suka sama suka permebdikbud ini mengatur kekerasan seksual tidak melegalkan perzinahan justru melindungi perempuan dari kejahatan seksual dosen guru ustadz senior dll di lingkungan pendidikan pakai logika jangan kebencian membuta mata ,positif,"['ummu', 'nayla', 'pasal', 'mana', 'yang', 'membolehkan', 'seks', 'suka', 'sama', 'suka', 'permebdikbud', 'ini', 'mengatur', 'kekerasan', 'seksual', 'tidak', 'melegalkan', 'perzinahan', 'justru', 'melindungi', 'perempuan', 'dari', 'kejahatan', 'seksual', 'dosen', 'guru', 'ustadz', 'senior', 'dll', 'di', 'lingkungan', 'pendidikan', 'pakai', 'logika', 'jangan', 'kebencian', 'membuta', 'mata']","['ummu', 'nayla', 'pasal', 'membolehkan', 'seks', 'suka', 'suka', 'permebdikbud', 'mengatur', 'kekerasan', 'seksual', 'tidak', 'melegalkan', 'perzinahan', 'melindungi', 'perempuan', 'kejahatan', 'seksual', 'dosen', 'guru', 'ustadz', 'senior', 'dll', 'lingkungan', 'pendidikan', 'pakai', 'logika', 'jangan', 'kebencian', 'membuta', 'mata']","['ummu', 'nayla', 'pasal', 'boleh', 'seks', 'suka', 'suka', 'permebdikbud', 'atur', 'keras', 'seksual', 'tidak', 'legal', 'perzinahan', 'lindung', 'perempuan', 'jahat', 'seksual', 'dosen', 'guru', 'ustadz', 'senior', 'dll', 'lingkung', 'didik', 'pakai', 'logika', 'jangan', 'benci', 'buta', 'mata']",ummu nayla pasal boleh seks suka suka permebdikbud atur keras seksual tidak legal perzinahan lindung perempuan jahat seksual dosen guru ustadz senior dll lingkung didik pakai logika jangan benci buta mata,1.0
297,297, gabriella indah charista siapapun yang mendukung aturan setan itu maka dia juga termasuk di dalam doa umat islam,negatif,"['gabriella', 'indah', 'charista', 'siapapun', 'yang', 'mendukung', 'aturan', 'setan', 'itu', 'maka', 'dia', 'juga', 'termasuk', 'di', 'dalam', 'doa', 'umat', 'islam']","['gabriella', 'indah', 'charista', 'mendukung', 'aturan', 'setan', 'doa', 'umat', 'islam']","['gabriella', 'indah', 'charista', 'dukung', 'atur', 'setan', 'doa', 'umat', 'islam']",gabriella indah charista dukung atur setan doa umat islam,1.0
298,298, ummu nayla wkwkkw iyaa deh,netral,"['ummu', 'nayla', 'wkwkkw', 'iyaa', 'deh']","['ummu', 'nayla', 'wkwkkw', 'deh']","['ummu', 'nayla', 'wkwkkw', 'deh']",ummu nayla wkwkkw deh,2.0
299,299,no  lg marak bikin kepo knp ditentang bngt coba klo diterapkan siapa aja yg bakal kena tangkap ,netral,"['no', 'lg', 'marak', 'bikin', 'kepo', 'knp', 'ditentang', 'bngt', 'coba', 'klo', 'diterapkan', 'siapa', 'aja', 'yg', 'bakal', 'kena', 'tangkap']","['no', 'lg', 'marak', 'kepo', 'knp', 'ditentang', 'bngt', 'coba', 'diterapkan', 'kena', 'tangkap']","['no', 'lg', 'marak', 'kepo', 'knp', 'tentang', 'bngt', 'coba', 'terap', 'kena', 'tangkap']",no lg marak kepo knp tentang bngt coba terap kena tangkap,1.0
300,300, m indra menrisek kok bikin permen aneh mestinya bikin permen agar pendidikan nasional lebih maju dan cerdas bisa merata ke seluruh wilayah indonesia,negatif,"['m', 'indra', 'menrisek', 'kok', 'bikin', 'permen', 'aneh', 'mestinya', 'bikin', 'permen', 'agar', 'pendidikan', 'nasional', 'lebih', 'maju', 'dan', 'cerdas', 'bisa', 'merata', 'ke', 'seluruh', 'wilayah', 'indonesia']","['m', 'indra', 'menrisek', 'permen', 'aneh', 'mestinya', 'permen', 'pendidikan', 'nasional', 'maju', 'cerdas', 'merata', 'wilayah', 'indonesia']","['m', 'indra', 'menrisek', 'permen', 'aneh', 'mesti', 'permen', 'didik', 'nasional', 'maju', 'cerdas', 'rata', 'wilayah', 'indonesia']",m indra menrisek permen aneh mesti permen didik nasional maju cerdas rata wilayah indonesia,1.0
301,301,tidak dilegalkan tapi permendikbudristek ini memang ranahnya bukan untuk menangani tindakan asusila tapi kekerasan seksual kalau asusila kan ada persetujuan kedua belah pihak dan itu sudah ada peraturan yang lain yang dapat menangani hal ini ,positif,"['tidak', 'dilegalkan', 'tapi', 'permendikbudristek', 'ini', 'memang', 'ranahnya', 'bukan', 'untuk', 'menangani', 'tindakan', 'asusila', 'tapi', 'kekerasan', 'seksual', 'kalau', 'asusila', 'kan', 'ada', 'persetujuan', 'kedua', 'belah', 'pihak', 'dan', 'itu', 'sudah', 'ada', 'peraturan', 'yang', 'lain', 'yang', 'dapat', 'menangani', 'hal', 'ini']","['tidak', 'dilegalkan', 'permendikbudristek', 'ranahnya', 'menangani', 'tindakan', 'asusila', 'kekerasan', 'seksual', 'asusila', 'persetujuan', 'belah', 'peraturan', 'menangani']","['tidak', 'legal', 'permendikbudristek', 'ranah', 'tangan', 'tindak', 'asusila', 'keras', 'seksual', 'asusila', 'tuju', 'belah', 'atur', 'tangan']",tidak legal permendikbudristek ranah tangan tindak asusila keras seksual asusila tuju belah atur tangan,0.0
302,302, julidz peraturan yg mana bro setahu saya yg zina yg bisa di hukum di indonesia yaitu jika salah satu atau kedua pelakunya terikat perkawinan dengan orang lain gak berlaku kalo kedua duanya single itu pun merupakan delik aduan artinya hanya bisa di proses lebih lanjut jika ada pengaduan suami istri alias pasangan sah salah satu pelaku seperti yg tertera pada pasal  kuhp,netral,"['julidz', 'peraturan', 'yg', 'mana', 'bro', 'setahu', 'saya', 'yg', 'zina', 'yg', 'bisa', 'di', 'hukum', 'di', 'indonesia', 'yaitu', 'jika', 'salah', 'satu', 'atau', 'kedua', 'pelakunya', 'terikat', 'perkawinan', 'dengan', 'orang', 'lain', 'gak', 'berlaku', 'kalo', 'kedua', 'duanya', 'single', 'itu', 'pun', 'merupakan', 'delik', 'aduan', 'artinya', 'hanya', 'bisa', 'di', 'proses', 'lebih', 'lanjut', 'jika', 'ada', 'pengaduan', 'suami', 'istri', 'alias', 'pasangan', 'sah', 'salah', 'satu', 'pelaku', 'seperti', 'yg', 'tertera', 'pada', 'pasal', 'kuhp']","['julidz', 'peraturan', 'setahu', 'zina', 'hukum', 'indonesia', 'salah', 'pelakunya', 'terikat', 'perkawinan', 'orang', 'gak', 'berlaku', 'duanya', 'single', 'delik', 'aduan', 'proses', 'pengaduan', 'suami', 'istri', 'alias', 'pasangan', 'sah', 'salah', 'pelaku', 'tertera', 'pasal', 'kuhp']","['julidz', 'atur', 'tahu', 'zina', 'hukum', 'indonesia', 'salah', 'laku', 'ikat', 'kawin', 'orang', 'gak', 'laku', 'dua', 'single', 'delik', 'adu', 'proses', 'adu', 'suami', 'istri', 'alias', 'pasang', 'sah', 'salah', 'laku', 'tera', 'pasal', 'kuhp']",julidz atur tahu zina hukum indonesia salah laku ikat kawin orang gak laku dua single delik adu proses adu suami istri alias pasang sah salah laku tera pasal kuhp,1.0
303,303, julidz ada rancangan uu kuhp soal perluasan aturan mengenai zina ini tpi bentuk nya masih ruu setahu saya yaitu kuhp pasal  makanya saya minta temen temen yg sekulib jangan protes soal ruu ini supaya cepat di sahkan nanti kalo ada aturan permendikbud atau uu kek di atas gak ribut ama kaum kons khususnya kaum islamis gak capek ribut mulu,positif,"['julidz', 'ada', 'rancangan', 'uu', 'kuhp', 'soal', 'perluasan', 'aturan', 'mengenai', 'zina', 'ini', 'tpi', 'bentuk', 'nya', 'masih', 'ruu', 'setahu', 'saya', 'yaitu', 'kuhp', 'pasal', 'makanya', 'saya', 'minta', 'temen', 'temen', 'yg', 'sekulib', 'jangan', 'protes', 'soal', 'ruu', 'ini', 'supaya', 'cepat', 'di', 'sahkan', 'nanti', 'kalo', 'ada', 'aturan', 'permendikbud', 'atau', 'uu', 'kek', 'di', 'atas', 'gak', 'ribut', 'ama', 'kaum', 'kons', 'khususnya', 'kaum', 'islamis', 'gak', 'capek', 'ribut', 'mulu']","['julidz', 'rancangan', 'uu', 'kuhp', 'perluasan', 'aturan', 'zina', 'tpi', 'bentuk', 'ruu', 'setahu', 'kuhp', 'pasal', 'temen', 'temen', 'sekulib', 'jangan', 'protes', 'ruu', 'cepat', 'sahkan', 'aturan', 'permendikbud', 'uu', 'gak', 'ribut', 'ama', 'kaum', 'kons', 'kaum', 'islamis', 'gak', 'capek', 'ribut', 'mulu']","['julidz', 'rancang', 'uu', 'kuhp', 'luas', 'atur', 'zina', 'tpi', 'bentuk', 'ruu', 'tahu', 'kuhp', 'pasal', 'temen', 'temen', 'sekulib', 'jangan', 'protes', 'ruu', 'cepat', 'sahkan', 'atur', 'permendikbud', 'uu', 'gak', 'ribut', 'ama', 'kaum', 'kons', 'kaum', 'islamis', 'gak', 'capek', 'ribut', 'mulu']",julidz rancang uu kuhp luas atur zina tpi bentuk ruu tahu kuhp pasal temen temen sekulib jangan protes ruu cepat sahkan atur permendikbud uu gak ribut ama kaum kons kaum islamis gak capek ribut mulu,1.0
